fercID,utility,year,rateName,MWh,revenue,num_cstmr,KWhper_cust,avg_price,CARE_rate,remove,,,
133,PGE,2011,FOR ENERGY (CARE) FOR,0,0,0,0,0,1,1,,,
133,PGE,2012,E1 - INDIVIDUALLY METERED,20379587,3764568104,3252665,6266,0.1847,0,0,,,
133,PGE,2012,E6,99062,18451847,18636,5316,0.1863,0,0,,,
133,PGE,2012,E7 - TIME-OF-USE (TOU),626620,110052609,66089,9481,0.1756,0,0,,,
133,PGE,2012,E8 -SEASONAL SERVICE OPTION,660864,135655855,43853,15070,0.2053,0,0,,,
133,PGE,2012,EA7 -EXPERIMENTAL ALTERNATE,136,20427,11,12364,0.1502,0,0,,,
133,PGE,2012,EA9 - EXPERIMENTAL TOU SERVICE FO,13701,2406321,1493,9177,0.1756,0,0,,,
133,PGE,2012,EB9,351,37172,124,2831,0.1059,0,0,,,
133,PGE,2012,ELA7 - EXPERIMENTAL RESIDENTIAL C,32,2685,1,32000,0.0839,0,0,,,
133,PGE,2012,EM -MASTER-METERED MULTI- FAMILY,269262,50000541,17984,14972,0.1857,0,0,,,
133,PGE,2012,EMTOU,435,35402,25,17400,0.0814,0,0,,,
133,PGE,2012,ES -MULTI-FAMILY SERVICE,26899,3830520,267,100745,0.1424,0,0,,,
133,PGE,2012,ESR -RV PARK AND RESIDENTIAL MARI,1489,214923,28,53179,0.1443,0,0,,,
133,PGE,2012,ESRL -RV PARK AND RESIDENTIAL  MA,6690,796955,60,111500,0.1191,0,0,,,
133,PGE,2012,ET -MOBILEHOME PARK SERVICE,17349,2289806,268,64735,0.132,0,0,,,
133,PGE,2012,SE1 -STANDBY - INDIVIDUALLY METER,11,1532,1,11000,0.1393,0,0,,,
133,PGE,2012,SEM1 -STANDBY - MASTER-METERED,2687,377771,10,268700,0.1406,0,0,,,
133,PGE,2012,EL1 - RESIDENTIAL CARE PROGRAM SE,8297575,791543581,1226442,6766,0.0954,1,0,,,
133,PGE,2012,EL6 - RESIDENTIAL CARE TIME-OF-US,8551,903406,766,11163,0.1056,1,0,,,
133,PGE,2012,EL7 - RESIDENTIAL CARE PROGRAM TI,80806,7817608,7683,10518,0.0967,1,0,,,
133,PGE,2012,EL8 - RESEIDNETIAL SEASONAL CARE,128080,11597643,8125,15764,0.0906,1,0,,,
133,PGE,2012,EML -MULTIFAMILY CARE PROGRAM,27073,2544153,182,148753,0.094,1,0,,,
133,PGE,2012,ESL -MULTIFAMILY CARE,30836,3692097,316,97582,0.1197,1,0,,,
133,PGE,2012,ETL -LOW-INCOME MOBILE HOME,403868,45694863,2063,195767,0.1131,1,0,,,
133,PGE,2012,E3A - EXPERIMENTAL CRITICAL PEAK,0,0,0,0,0,0,1,,,
133,PGE,2012,E3B - EXPERIMENTAL CRITICAL PEAK,0,0,0,0,0,0,1,,,
133,PGE,2012,ECLSD,0,340958,0,0,0,0,1,,,
133,PGE,2012,ECONV,0,0,0,0,0,0,1,,,
133,PGE,2012,ENET - NEW ENERGY METERING SERVIC,0,0,0,0,0,0,1,,,
133,PGE,2012,MIS-RS,0,-6308,0,0,0,0,1,,,
133,PGE,2012,MULTI-RS,0,0,0,0,0,0,1,,,
133,PGE,2012,NEMS,0,0,0,0,0,0,1,,,
133,PGE,2012,PEAK TOU SERVICE,0,0,0,0,0,0,1,,,
133,PGE,2012,STOUS -STANDBY - TOU SECONDARY -,0,19450,10,0,0,0,1,,,
133,PGE,2012,STOUS -STANDBY - TOU SECONDARY-IN,0,79,1,0,0,0,1,,,
133,PGE,2012,UNCLASSIFIED,86,0,0,0,0,0,1,,,
133,PGE,2013,E1 INDIVIDUALLY METERED,20600845,3896962220,3335986,6175,0.1892,0,0,,,
133,PGE,2013,E7 TIME-OF-USE,604108,108297433,63940,9448,0.1793,0,0,,,
133,PGE,2013,E8 SEASONAL SERVICE OPTION,627479,132401947,42581,14736,0.211,0,0,,,
133,PGE,2013,EA9 EXPERIMENTAL TOU SERVICE FOR,36540,6548873,4022,9085,0.1792,0,0,,,
133,PGE,2013,EB9 EXPERIMENTAL TOU SERVICE FOR,611,65425,195,3133,0.1071,0,0,,,
133,PGE,2013,EM MASTER-METERED MULTI-FAMILY SE,263882,50109352,17737,14877,0.1899,0,0,,,
133,PGE,2013,EMTOU RESIDENTIAL TIME OF USE SER,466,53553,28,16643,0.1149,0,0,,,
133,PGE,2013,ES MULTI-FAMILY SERVICE,27791,4118127,271,102550,0.1482,0,0,,,
133,PGE,2013,ESR RV PARK AND RESIDENTIAL MARIN,1702,252823,28,60786,0.1485,0,0,,,
133,PGE,2013,ESRL RV PARK AND RESIDENTIAL MARI,6930,864599,61,113607,0.1248,0,0,,,
133,PGE,2013,ET MOBILEHOME PARK SERVICE,17333,2392497,265,65408,0.138,0,0,,,
133,PGE,2013,EVA RESIDENTIAL TOU SERVICE FOR P,6348,999166,501,12671,0.1574,0,0,,,
133,PGE,2013,EVB RESIDENTIAL TOU SERVICE FOR P,21,2124,4,5250,0.1011,0,0,,,
133,PGE,2013,SE1 STANDBY - INDIVIDUALLY METERE,35,10151,1,35000,0.29,0,0,,,
133,PGE,2013,SEM1 STANDBY - MASTER-METERED MUL,3052,475354,10,305200,0.1558,0,0,,,
133,PGE,2013,E6 RESIDENTIAL CARE TIME-OF-USE S,135066,25195590,27404,4929,0.1865,1,0,,,
133,PGE,2013,EL1     RESIDENTIAL CARE PROGRAM,8013055,790226189,1179563,6793,0.0986,1,0,,,
133,PGE,2013,EL6 RESIDENTIAL CARE TIME-OF-USE,9796,1042169,973,10068,0.1064,1,0,,,
133,PGE,2013,EL7 RESIDENTIAL CARE PROGRAM TOU,64103,6455322,6051,10594,0.1007,1,0,,,
133,PGE,2013,EL8 RESIDENTIAL SEASONAL CARE PRO,108125,10337766,6977,15497,0.0956,1,0,,,
133,PGE,2013,EML MULTIFAMILY CARE PROGRAM - MA,26908,2586511,182,147846,0.0961,1,0,,,
133,PGE,2013,ESL MULTIFAMILY CARE PROGRAM SERV,30541,3756442,319,95740,0.123,1,0,,,
133,PGE,2013,ETL LOW-INCOME MOBILE HOME,405417,48318468,2039,198831,0.1192,1,0,,,
133,PGE,2013,E3A EXPERIMENTAL CRITICAL PEAK PR,0,0,0,0,0,0,1,,,
133,PGE,2013,E3B EXPERIMENTAL CRITICAL PEAK PR,0,0,0,0,0,0,1,,,
133,PGE,2013,EA7 EXPERIMENTAL ALTERNATE PEAK T,0,0,0,0,0,0,1,,,
133,PGE,2013,ECLSD,0,60,0,0,0,0,1,,,
133,PGE,2013,ECONV,0,2,0,0,0,0,1,,,
133,PGE,2013,ELA7 EXPERIMENTAL RESIDENTIAL CAR,0,0,0,0,0,0,1,,,
133,PGE,2013,ENET NEW ENERGY METERING SERVICE,0,0,0,0,0,0,1,,,
133,PGE,2013,MIS-RS,0,1498,0,0,0,0,1,,,
133,PGE,2013,MULTI-RS,0,0,0,0,0,0,1,,,
133,PGE,2013,NEMS,0,0,0,0,0,0,1,,,
133,PGE,2013,STOUS STANDBY - TOU SECONDARY - I,0,124,1,0,0,0,1,,,
133,PGE,2013,STOUS STANDBY - TOU SECONDARY - M,0,23763,11,0,0,0,1,,,
