Utility Type,Utility Name,Year,Ag & Water Pump,Commercial Building,Commercial Other,Industry,Mining & Construction,Residential,Streetlight,Total Usage
Investor owned utility,Pacific Gas and Electric Company,1990,4696.135812,21390.89956,3266.203894,14849.72094,1947.607861,23475.17757,410.580808,70036.32645
Investor owned utility,San Diego Gas and Electric Company,1990,239.19457,5663.47796,1283.748493,1423.881248,292.177206,5420.990104,73.430699,14396.90028
Investor owned utility,Southern California Edison Company,1990,2686.013518,22896.72661,3517.674982,15865.48748,3059.594494,22382.4138,608.636961,71016.54784
Investor owned utility,Pacific Gas and Electric Company,1991,4718.929184,21763.60709,3348.492034,14470.18805,1954.257282,23807.32178,420.59174,70483.38716
Investor owned utility,San Diego Gas and Electric Company,1991,206.348857,5536.230455,1372.876424,1405.909854,315.768865,5332.517618,75.875295,14245.52737
Investor owned utility,Southern California Edison Company,1991,2493.571254,22717.12991,3485.863202,15298.67817,2922.249638,21747.09578,607.695806,69272.28376
Investor owned utility,Pacific Gas and Electric Company,1992,4774.132649,22954.08696,3439.31792,14592.27079,1954.401592,23663.905,421.829099,71799.944
Investor owned utility,San Diego Gas and Electric Company,1992,192.62977,6052.874602,1390.083818,1441.672847,329.23543,5611.07,75.654533,15093.221
Investor owned utility,Southern California Edison Company,1992,2505.333203,23509.31638,3620.975659,15187.73063,2653.332258,22823.165,633.480871,70933.334
Investor owned utility,Pacific Gas and Electric Company,1993,3744.224043,23292.37174,3553.713273,14095.07017,1879.061017,24111.122,430.800757,71106.363
Investor owned utility,San Diego Gas and Electric Company,1993,209.477836,6056.862813,1421.547509,1450.679332,269.850167,5550.869,76.356343,15035.643
Investor owned utility,Southern California Edison Company,1993,2363.130451,23528.74884,3516.84635,14868.6786,2577.420683,22070.811,629.70007,69555.336
Investor owned utility,Pacific Gas and Electric Company,1994,4384.109182,23242.77496,3429.94322,14089.91105,1612.73533,24325.737,424.906262,71510.117
Investor owned utility,San Diego Gas and Electric Company,1994,232.268533,6212.227551,1452.949044,1443.501486,229.810554,5730.818,78.805833,15380.381
